country,submarket,year,list_type,brand,weekly_reach_pct,outlet_id,domain,notes,source,brand_type,is_aggregator,domain_valid_from,domain_valid_to,sample_type,fieldwork_start,fieldwork_end,sample_size,human_checked
CHE,french-speaking,2026,offline,RTS News (public broadcaster),63,che_rts,rts.ch,Chart also reports RTS TV News 48% and RTS Radio News 32% separately.,"DNR 2026, p. 117",outlet,FALSE,,,national,2026-01,2026-02,2051,
CHE,french-speaking,2026,offline,French commercial TV news,28,cat_fr_commercial_tv,,Aggregate category label. DNR alternates 'private' and 'commercial' wording across years for this item.,"DNR 2026, p. 117",category,FALSE,,,national,2026-01,2026-02,2051,
CHE,french-speaking,2026,offline,French public TV news,23,cat_fr_public_tv,,"Aggregate category label in the DNR chart, not an identifiable outlet. No domain.","DNR 2026, p. 117",category,FALSE,,,national,2026-01,2026-02,2051,
CHE,french-speaking,2026,offline,24 heures,23,che_24heures,24heures.ch,,"DNR 2026, p. 117",outlet,FALSE,,,national,2026-01,2026-02,2051,
CHE,french-speaking,2026,offline,Other regional or local newspapers,20,cat_regional_local_press,,"Aggregate category label in the DNR chart, not an identifiable outlet. No domain.","DNR 2026, p. 117",category,FALSE,,,national,2026-01,2026-02,2051,
CHE,french-speaking,2026,offline,Le Temps,16,che_letemps,letemps.ch,,"DNR 2026, p. 117",outlet,FALSE,,,national,2026-01,2026-02,2051,
CHE,french-speaking,2026,offline,Commercial radio news,16,cat_commercial_radio,,Aggregate category label. DNR alternates 'private' and 'commercial' wording across years for this item.,"DNR 2026, p. 117",category,FALSE,,,national,2026-01,2026-02,2051,
CHE,french-speaking,2026,offline,Le Matin Dimanche,13,che_lematindimanche,lematin.ch,UNVERIFIED DOMAIN: lematindimanche.ch serves an e-paper portal only. Recorded lematin.ch as the likely article domain - confirm.,"DNR 2026, p. 117",outlet,FALSE,,,national,2026-01,2026-02,2051,
CHE,french-speaking,2026,offline,Tribune de Genève,11,che_tdg,tdg.ch,,"DNR 2026, p. 117",outlet,FALSE,,,national,2026-01,2026-02,2051,
CHE,french-speaking,2026,offline,Le Nouvelliste,11,che_nouvelliste,lenouvelliste.ch,,"DNR 2026, p. 117",outlet,FALSE,,,national,2026-01,2026-02,2051,
CHE,french-speaking,2026,offline,CNN,10,usa_cnn,cnn.com,Foreign outlet appearing in the Swiss list.,"DNR 2026, p. 117",foreign,FALSE,,,national,2026-01,2026-02,2051,
CHE,french-speaking,2026,offline,Commercial TV news,10,cat_commercial_tv,,Aggregate category label for Swiss commercial/private TV news. Wording varies by year ('Other commercial news (e.g. Tele Zuri)' -> 'Other commercial TV' -> 'Private TV news' -> 'Commercial TV news'); treated as one item.,"DNR 2026, p. 117",category,FALSE,,,national,2026-01,2026-02,2051,
CHE,french-speaking,2026,online,20 Minutes online,51,che_20min_fr,20min.ch,,"DNR 2026, p. 117",outlet,FALSE,,,national,2026-01,2026-02,2051,
CHE,french-speaking,2026,online,RTS News online,35,che_rts,rts.ch,,"DNR 2026, p. 117",outlet,FALSE,,,national,2026-01,2026-02,2051,
